date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:15	99916/99916	---MCZ	200	added ('OK')	text/html	etag:W/%2263478885-1864c%22	https://htmldemo.net/nelson/nelson/index.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/index.html	(from )
14:40:16	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2007:40:16%20GMT	https://htmldemo.net/robots.txt		(from )
14:40:16	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22634788e6-47e%22	https://htmldemo.net/nelson/nelson/assets/images/favicon.ico	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/images/favicon.ico	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:16	194899/194899	---MCZ	200	added ('OK')	text/css	etag:W/%226347894c-2f953%22	https://htmldemo.net/nelson/nelson/assets/css/vendor/bootstrap.min.css	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:17	32170/32170	---MCZ	200	added ('OK')	text/css	etag:W/%226347894d-7daa%22	https://htmldemo.net/nelson/nelson/assets/css/vendor/iconfont.min.css	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/css/vendor/iconfont.min.css	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:17	13254/13254	---MCZ	200	added ('OK')	text/css	etag:W/%226347894b-33c6%22	https://htmldemo.net/nelson/nelson/assets/css/vendor/helper.css	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/css/vendor/helper.css	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:17	129169/129169	---MCZ	200	added ('OK')	text/css	etag:W/%2263478945-1f891%22	https://htmldemo.net/nelson/nelson/assets/css/plugins/plugins.css	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/css/plugins/plugins.css	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:17	144503/144503	---MCZ	200	added ('OK')	text/css	etag:W/%22634788d0-23477%22	https://htmldemo.net/nelson/nelson/assets/css/style.css	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/css/style.css	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:17	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634789c5-3c9a%22	https://htmldemo.net/nelson/nelson/assets/js/vendor/modernizr-2.8.3.min.js	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:18	1783/1783	---MC-	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202023%2007:40:18%20GMT	https://htmldemo.net/nelson/nelson/assets/images/logo.png	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/assets/images/logo.png	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:18	146545/146545	---MCZ	200	added ('OK')	text/html	etag:W/%2263478892-23c71%22	https://htmldemo.net/nelson/nelson/shop.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:18	102367/102367	---MCZ	200	added ('OK')	text/html	etag:W/%2263478884-18fdf%22	https://htmldemo.net/nelson/nelson/index-2.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/index-2.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:19	61713/61713	---MCZ	200	added ('OK')	text/html	etag:W/%2263478873-f111%22	https://htmldemo.net/nelson/nelson/about.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/about.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:19	53273/53273	---MCZ	200	added ('OK')	text/html	etag:W/%2263478880-d019%22	https://htmldemo.net/nelson/nelson/compare.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/compare.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:19	53773/53773	---MCZ	200	added ('OK')	text/html	etag:W/%226347887e-d20d%22	https://htmldemo.net/nelson/nelson/cart.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/cart.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:19	60233/60233	---MCZ	200	added ('OK')	text/html	etag:W/%226347887f-eb49%22	https://htmldemo.net/nelson/nelson/checkout.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/checkout.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:20	49292/49292	---MCZ	200	added ('OK')	text/html	etag:W/%22634788a0-c08c%22	https://htmldemo.net/nelson/nelson/wishlist.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/wishlist.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:20	61419/61419	---MCZ	200	added ('OK')	text/html	etag:W/%2263478888-efeb%22	https://htmldemo.net/nelson/nelson/my-account.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/my-account.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:20	49309/49309	---MCZ	200	added ('OK')	text/html	etag:W/%2263478887-c09d%22	https://htmldemo.net/nelson/nelson/login-register.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/login-register.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:20	59351/59351	---MCZ	200	added ('OK')	text/html	etag:W/%2263478883-e7d7%22	https://htmldemo.net/nelson/nelson/faq.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/faq.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:21	46894/46894	---MCZ	200	added ('OK')	text/html	etag:W/%2263478873-b72e%22	https://htmldemo.net/nelson/nelson/404.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/404.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:21	140886/140886	---MCZ	200	added ('OK')	text/html	etag:W/%2263478891-22656%22	https://htmldemo.net/nelson/nelson/shop-three-column.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-three-column.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:21	135300/135300	---MCZ	200	added ('OK')	text/html	etag:W/%226347888a-21084%22	https://htmldemo.net/nelson/nelson/shop-four-column.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-four-column.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:22	146559/146559	---MCZ	200	added ('OK')	text/html	etag:W/%226347888f-23c7f%22	https://htmldemo.net/nelson/nelson/shop-right-sidebar.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-right-sidebar.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:22	140888/140888	---MCZ	200	added ('OK')	text/html	etag:W/%226347888d-22658%22	https://htmldemo.net/nelson/nelson/shop-list-nosidebar.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-list-nosidebar.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:22	146558/146558	---MCZ	200	added ('OK')	text/html	etag:W/%226347888c-23c7e%22	https://htmldemo.net/nelson/nelson/shop-list-left-sidebar.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-list-left-sidebar.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:22	146564/146564	---MCZ	200	added ('OK')	text/html	etag:W/%226347888f-23c84%22	https://htmldemo.net/nelson/nelson/shop-list-right-sidebar.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/shop-list-right-sidebar.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:23	85134/85134	---MCZ	200	added ('OK')	text/html	etag:W/%226347889f-14c8e%22	https://htmldemo.net/nelson/nelson/single-product.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/single-product.html	(from https://htmldemo.net/nelson/nelson/index.html)
14:40:23	87228/87228	---MCZ	200	added ('OK')	text/html	etag:W/%226347889d-154bc%22	https://htmldemo.net/nelson/nelson/single-product-variable.html	D:/New%20folder/RichfieldChairs/htmldemo.net/nelson/nelson/single-product-variable.html	(from https://htmldemo.net/nelson/nelson/index.html)
